selection_manual_fix,weighted_votes
Die Angkar,1
Die Dritte Generation,1
Die Hard,1
Die Jungfrauenmaschine,1
Die Nibelungen  1 Teil: Siegfried,1
Die Parallelstrasse,1
Die Reise Nach Lyon,1
Die Sehnsucht Der Veronika Voss,1
Dishonored,1
Documenteur,1
Dogs In Space,1
Dok Smo Bili Tu (While We Wait Here),1
Domestic Violence,1
Donnie Darko,1
Down By Law,1
Dracula,1
Dragon Inn,1
Dream Street,1
Dreams Of A Life,1
Drive,1
Drive My Car,1
Dushi Fengguang,1
Dyketactics,1
Ear For Eye,1
"Ears, Nose And Throat",1
Earth Ii,1
East Of Eden,1
Easy Rider,1
Eden,1
El,1
El Castillo De La Pureza,1
El Coraje Del Pueblo,1
El Espinazo Del Diablo,1
El Sur,1
El Topo,1
Elephant: 1988,1
Elevator Girls In Bondage,1
Eleven Miles,1
Embrace Of The Serpent,1
Empire,1
En Kärlekshistoria,1
Enemy,1
Ensayo De Un Crimen,1
Épouvante (Terror Stricken),1
Eternal Return (Vechnoe Vozvrashchenie),1
Europa '51,1
"Europa, ""Based On A True Story""",1
Eve's Bayou,1
Every Picture Tells A Story,1
Eyes Of Fire,1
Eyes Wide Shut,1
Faces,1
Faits Divers,1
Fargo,1
Farming,1
Fascination,1
Fatima's Letter,1
Fearless,1
Fehérlofia (Son Of The White Horse),1
Femina Ridens,1
Femmes Femmes,1
Ferris Bueller's Day Off,1
Film,1
Film Ist. (1-2),1
Fire Will Come,1
Fireworks,1
First Cow,1
First Man,1
Fitzcarraldo,1
Five Men In The Circus,1
Five Year Diary (Sections),1
"Five Year Diary, Reel 22: A Short Affair",1
Flaming Creatures,1
Flowers Of Shanghai,1
Fly,1
For Memory,1
For The Broken Right Eye,1
Freak Orlando,1
Frenzy,1
From Russia With Love,1
From The Pole To The Equator,1
Frozen,1
Frozen Ii,1
Fruitvale Station,1
Full Metal Jacket,1
Further Beyond,1
Futatsume No Mado,1
Gasman,1
German Concentration Camps Factual Survey,1
Geschichtsunterricht,1
Get Carter,1
Gilda,1
Gion Bayashi,1
Giulietta Degli Spiriti,1
Give Us A Smile,1
Glen Or Glenda,1
Glimpse,1
Gloomy Eyes,1
Gloria: 1980,1
God's Own Country,1
Goldfinger,1
Gomi Sup,1
Gone Girl,1
Gong Fu,1
Goon,1
Great Expectations,1
Grizzly Man,1
Gruz 200,1
Gue Mool,1
Guess Who's Coming To Dinner,1
Gummo,1
Guys And Dolls,1
Hadutha Masriyya,1
Hana Chirinu,1
Hangmen Also Die!,1
Hanno Cambiato Faccia (They've Changed Faces),1
Här Är Karusellen,1
Hard To Be A God,1
Hatari!,1
He Who Gets Slapped,1
Heavenly Creatures,1
Hedgehog In The Fog,1
Hedonists (Jiansheng),1
Heimat,1
Heimat: A Chronicle Of Germany,1
Heliu,1
Helpmates,1
Heremakono  En Attendant Le Bonheur,1
Heroic Purgatory,1
"Hi, Mom!",1
High Life,1
Histoire(S) Du Cinéma,1
Hoffa,1
Holdudvar,1
Holiday,1
Home  A Vr Spacewalk,1
Home From The Hill,1
Hong Gaoliang,1
"Hotel Terminus (Klaus Barbie, His Life And Times)",1
Hours For Jerome I & Ii,1
House Party,1
Housekeeping,1
Hsimeng Jensheng,1
Huang Tudi,1
Hunger,1
Hunt For The Wilderpeople,1
Hurt,1
Husbands  A Comedy About Life Death And Freedom,1
Huset Pa Kampen,1
Hytti Nro 6,1
I Am Cuba,1
I Am Somebody,1
I Clowns,1
I For India,1
I Vitelloni,1
"I, The Executioner",1
Idhi Katha Matramena,1
Il Caso Mattei,1
Il Decamerone,1
Il Divo  La Spettacolare Vita Di Giulio Andreotti,1
Il Giardino Dei Finzi-Contini,1
Il Segno Di Venere,1
Images Of The World And The Inscription Of War,1
Impressions,1
In The Name Of The Father,1
In The Shadow Of The Sun,1
Indagine Su Un Cittadino Al Di Sopra Di Ogni Sospetto,1
Inferno,1
Ingeborg Holm,1
Inland Empire,1
Inland Sea,1
Instructions For A Light And Sound Machine,1
Interstellar,1
Interview,1
Invasion Of The Body Snatchers,1
Irma Vep,1
Island Of Lost Souls,1
It Should Happen To You,1
It's Always Fair Weather,1
Ivan,1
Ivan The Terrible,1
Izgnanie,1
Jackass 3d,1
Jamal,1
Jiā Nián Huá,1
Jin-Roh,1
Jinruigaku Nyumon,1
"John C. Depp, Ii V. Amber Laura Heard",1
John Wick,1
Johnny Suede,1
Jonas Qui Aura 25 Ans En L'an 2000,1
Juice,1
Jusqu'à La Garde,1
K,1
Kalendar,1
Kanal,1
Kaos,1
Katatsumori,1
Kenny,1
"Khroustaliov, Ma Voiture!",1
King Lear: 1970,1
Kirikou Et La Sorcière,1
Kissed,1
Klassenverhältnisse,1
Klipperty Klopp,1
Klute,1
Knight Of Cups,1
Ko To Tamo Peva,1
Kobieta Samotna,1
Koibumi,1
Kongbufenzi,1
Korczak,1
Koroshi No Rakuin,1
Krótki Film O Zabijaniu,1
Krylya,1
Kuhle Wampe Oder Wem Gehort Die Welt?,1
Kummatty,1
Kurutta Ippeiji,1
Kynodontas,1
Kyojin To Gangu,1
Kyss Mig,1
L' Albero Degli Zoccoli,1
L' Homme Qui Plantait Des Arbres,1
L' Inconnu Du Lac,1
L' Innocente,1
L'île De Bergman,1
La Baie Des Anges,1
La Belle Noiseuse,1
La Caduta Degli Dei,1
La Camarista,1
La Canta Delle Marane,1
La Captive,1
La Ciénaga,1
La Classe Operaia Va In Paradiso,1
La Décade Prodigieuse,1
La Double Vie De Véronique,1
La Flor,1
La Flor De Mi Secreto,1
La Grande Bouffe,1
La Ley Del Deseo,1
La Maison Des Bois,1
La Mala Educación,1
La Maman Et La Putain,1
La Morte Rouge,1
La Petite Vendeuse De 'Soleil',1
La Prise De Pouvoir Par Louis Xiv,1
La Prisonnière,1
La Rosière De Pessac,1
La Souriante Madame Beudet,1
La Vie De Jésus,1
